state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes
Alabama,AL,Cherokee,1019,Republican,John Kasich,133,0.028
Alabama,AL,Cherokee,1019,Democrat,Hillary Clinton,4182,0.661
Alabama,AL,Cherokee,1019,Democrat,Bernie Sanders,749,0.249
Alabama,AL,Chilton,1021,Republican,Donald Trump,30,0.493
Alabama,AL,Chilton,1021,Republican,Ted Cruz,6759,0.218
Alabama,AL,Chilton,1021,Republican,Marco Rubio,1503,0.134
Alabama,AL,Chilton,1021,Republican,Ben Carson,4,0.108
Alabama,AL,Chilton,1021,Republican,John Kasich,64,0.02
Alabama,AL,Chilton,1021,Democrat,Hillary Clinton,5,0.731
Alabama,AL,Chilton,1021,Democrat,Bernie Sanders,11,0.246
Alabama,AL,Choctaw,1023,Republican,Donald Trump,2268,0.499
Alabama,AL,Choctaw,1023,Republican,Ted Cruz,543,0.21
Alabama,AL,Choctaw,1023,Republican,Marco Rubio,645,0.147
Alabama,AL,Choctaw,1023,Republican,Ben Carson,823,0.079
Alabama,AL,Choctaw,1023,Republican,John Kasich,254,0.032
Alabama,AL,Choctaw,1023,Democrat,Hillary Clinton,57,0.802
Alabama,AL,Choctaw,1023,Democrat,Bernie Sanders,576,0.124
Alabama,AL,Clarke,1025,Republican,Donald Trump,329,0.502
Alabama,AL,Clarke,1025,Republican,Ted Cruz,302,0.193
Alabama,AL,Clarke,1025,Republican,Marco Rubio,42,0.175
Alabama,AL,Clarke,1025,Republican,Ben Carson,419,0.089
Alabama,AL,Clarke,1025,Republican,John Kasich,11,0.027
Alabama,AL,Clarke,1025,Democrat,Hillary Clinton,3251,0.93
Alabama,AL,Clarke,1025,Democrat,Bernie Sanders,225,0.063
Alabama,AL,Clay,1027,Republican,Donald Trump,191,0.476
Alabama,AL,Clay,1027,Republican,Ted Cruz,371,0.207
Alabama,AL,Clay,1027,Republican,Marco Rubio,281,0.125
Alabama,AL,Clay,1027,Republican,Ben Carson,3931,0.122
Alabama,AL,Clay,1027,Republican,John Kasich,391,0.031
Alabama,AL,Clay,1027,Democrat,Hillary Clinton,356,0.818
Alabama,AL,Clay,1027,Democrat,Bernie Sanders,2,0.137
Alabama,AL,Cleburne,1029,Republican,Donald Trump,632,0.483
Alabama,AL,Cleburne,1029,Republican,Ted Cruz,781,0.211
Alabama,AL,Cleburne,1029,Republican,Marco Rubio,0,0.136
Alabama,AL,Cleburne,1029,Republican,Ben Carson,2497,0.1
Alabama,AL,Cleburne,1029,Republican,John Kasich,4438,0.024
Alabama,AL,Cleburne,1029,Democrat,Hillary Clinton,149,0.732
Alabama,AL,Cleburne,1029,Democrat,Bernie Sanders,43,0.238
Alabama,AL,Coffee,1031,Republican,Donald Trump,1387,0.414
Alabama,AL,Coffee,1031,Republican,Ted Cruz,725,0.233
Alabama,AL,Coffee,1031,Republican,Marco Rubio,55,0.155
Alabama,AL,Coffee,1031,Republican,Ben Carson,32853,0.132
Alabama,AL,Coffee,1031,Republican,John Kasich,19,0.036
Alabama,AL,Coffee,1031,Democrat,Hillary Clinton,221,0.772
Alabama,AL,Coffee,1031,Democrat,Bernie Sanders,134,0.201
Alabama,AL,Colbert,1033,Republican,Donald Trump,705,0.474
Alabama,AL,Colbert,1033,Republican,Ted Cruz,65,0.197
Alabama,AL,Colbert,1033,Republican,Marco Rubio,1181,0.177
Alabama,AL,Colbert,1033,Republican,Ben Carson,35,0.109
Alabama,AL,Colbert,1033,Republican,John Kasich,16428,0.031
Alabama,AL,Colbert,1033,Democrat,Hillary Clinton,6106,0.65
Alabama,AL,Colbert,1033,Democrat,Bernie Sanders,36,0.225
Alabama,AL,Conecuh,1035,Republican,Donald Trump,1155,0.59
Alabama,AL,Conecuh,1035,Republican,Ted Cruz,619,0.16
Alabama,AL,Conecuh,1035,Republican,Marco Rubio,1365,0.108
Alabama,AL,Conecuh,1035,Republican,Ben Carson,1461,0.105
Alabama,AL,Conecuh,1035,Republican,John Kasich,1412,0.013
Alabama,AL,Conecuh,1035,Democrat,Hillary Clinton,3,0.714
Alabama,AL,Conecuh,1035,Democrat,Bernie Sanders,247,0.191
Alabama,AL,Coosa,1037,Republican,Donald Trump,8,0.553
Alabama,AL,Coosa,1037,Republican,Ted Cruz,5210,0.195
Alabama,AL,Coosa,1037,Republican,Marco Rubio,375,0.108
Alabama,AL,Coosa,1037,Republican,Ben Carson,519,0.09
Alabama,AL,Coosa,1037,Republican,John Kasich,583,0.03
Alabama,AL,Coosa,1037,Democrat,Hillary Clinton,4252,0.877
Alabama,AL,Coosa,1037,Democrat,Bernie Sanders,112,0.108
Alabama,AL,Covington,1039,Republican,Donald Trump,5119,0.481
Alabama,AL,Covington,1039,Republican,Ted Cruz,42,0.185
Alabama,AL,Covington,1039,Republican,Marco Rubio,3155,0.133
Alabama,AL,Covington,1039,Republican,Ben Carson,205,0.133
Alabama,AL,Covington,1039,Republican,John Kasich,1519,0.034
Alabama,AL,Covington,1039,Democrat,Hillary Clinton,168,0.773
Alabama,AL,Covington,1039,Democrat,Bernie Sanders,1094,0.197
Alabama,AL,Crenshaw,1041,Republican,Donald Trump,6863,0.545
Alabama,AL,Crenshaw,1041,Republican,Ted Cruz,1447,0.219
Alabama,AL,Crenshaw,1041,Republican,Ben Carson,24,0.104
Alabama,AL,Crenshaw,1041,Republican,Marco Rubio,17,0.091
Alabama,AL,Crenshaw,1041,Republican,John Kasich,2916,0.026
Alabama,AL,Crenshaw,1041,Democrat,Hillary Clinton,1984,0.878
Alabama,AL,Crenshaw,1041,Democrat,Bernie Sanders,58,0.103
Alabama,AL,Cullman,1043,Republican,Donald Trump,4064,0.506
Alabama,AL,Cullman,1043,Republican,Ted Cruz,719,0.203
Alabama,AL,Cullman,1043,Republican,Marco Rubio,25,0.135
Alabama,AL,Cullman,1043,Republican,Ben Carson,412,0.11
Alabama,AL,Cullman,1043,Republican,John Kasich,1080,0.027
Alabama,AL,Cullman,1043,Democrat,Hillary Clinton,8647,0.608
Alabama,AL,Cullman,1043,Democrat,Bernie Sanders,2676,0.345
Alabama,AL,Dale,1045,Republican,Donald Trump,1291,0.453
Alabama,AL,Dale,1045,Republican,Ted Cruz,4,0.219
Alabama,AL,Dale,1045,Republican,Marco Rubio,227,0.13
Alabama,AL,Dale,1045,Republican,Ben Carson,293,0.125
Alabama,AL,Dale,1045,Republican,John Kasich,340,0.036
Alabama,AL,Dale,1045,Democrat,Hillary Clinton,1061,0.77
Alabama,AL,Dale,1045,Democrat,Bernie Sanders,261,0.207
Alabama,AL,Dallas,1047,Republican,Donald Trump,274,0.597
Alabama,AL,Dallas,1047,Republican,Ted Cruz,3648,0.207
Alabama,AL,Dallas,1047,Republican,Marco Rubio,97,0.087
Alabama,AL,Dallas,1047,Republican,Ben Carson,16,0.053
Alabama,AL,Dallas,1047,Republican,John Kasich,324,0.026
Alabama,AL,Dallas,1047,Democrat,Hillary Clinton,1007,0.744
Alabama,AL,Dallas,1047,Democrat,Bernie Sanders,9593,0.154
Alabama,AL,Elmore,1051,Republican,Donald Trump,36,0.478
Alabama,AL,Elmore,1051,Republican,Ted Cruz,10,0.182
Alabama,AL,Elmore,1051,Republican,Ben Carson,21,0.148
Alabama,AL,Elmore,1051,Republican,Marco Rubio,5,0.134
Alabama,AL,Elmore,1051,Republican,John Kasich,1544,0.036
Alabama,AL,Elmore,1051,Democrat,Hillary Clinton,1118,0.801
Alabama,AL,Elmore,1051,Democrat,Bernie Sanders,1454,0.184
Alabama,AL,Escambia,1053,Republican,Donald Trump,13,0.493
Alabama,AL,Escambia,1053,Republican,Marco Rubio,136,0.18
Alabama,AL,Escambia,1053,Republican,Ted Cruz,1424,0.171
Alabama,AL,Escambia,1053,Republican,Ben Carson,112,0.102
Alabama,AL,Escambia,1053,Republican,John Kasich,702,0.034
Alabama,AL,Escambia,1053,Democrat,Hillary Clinton,5187,0.885
Alabama,AL,Escambia,1053,Democrat,Bernie Sanders,87,0.099
Alabama,AL,Etowah,1055,Republican,Donald Trump,324,0.461
Alabama,AL,Etowah,1055,Republican,Ted Cruz,304,0.207
Alabama,AL,Etowah,1055,Republican,Marco Rubio,48,0.168
Alabama,AL,Etowah,1055,Republican,Ben Carson,17,0.112
Alabama,AL,Etowah,1055,Republican,John Kasich,144,0.033
Alabama,AL,Etowah,1055,Democrat,Hillary Clinton,155,0.746
Alabama,AL,Etowah,1055,Democrat,Bernie Sanders,41651,0.226
Alabama,AL,Fayette,1057,Republican,Donald Trump,100,0.499
Alabama,AL,Fayette,1057,Republican,Ted Cruz,73,0.21
Alabama,AL,Fayette,1057,Republican,Marco Rubio,295,0.133
Alabama,AL,Fayette,1057,Republican,Ben Carson,166,0.098
Alabama,AL,Fayette,1057,Republican,John Kasich,1984,0.025
Alabama,AL,Fayette,1057,Democrat,Hillary Clinton,1208,0.767
Alabama,AL,Fayette,1057,Democrat,Bernie Sanders,1366,0.172
Alabama,AL,Franklin,1059,Republican,Donald Trump,76,0.515
Alabama,AL,Franklin,1059,Republican,Ted Cruz,223,0.213
Alabama,AL,Franklin,1059,Republican,Marco Rubio,280,0.134
Alabama,AL,Franklin,1059,Republican,Ben Carson,428,0.093
Alabama,AL,Franklin,1059,Republican,John Kasich,793,0.026
Alabama,AL,Franklin,1059,Democrat,Hillary Clinton,86,0.484
Alabama,AL,Franklin,1059,Democrat,Bernie Sanders,331,0.301
Alabama,AL,Geneva,1061,Republican,Donald Trump,1449,0.486
Alabama,AL,Geneva,1061,Republican,Ted Cruz,209,0.237
Alabama,AL,Geneva,1061,Republican,Marco Rubio,30,0.13
Alabama,AL,Geneva,1061,Republican,Ben Carson,170,0.093
Alabama,AL,Geneva,1061,Republican,John Kasich,306,0.023
Alabama,AL,Geneva,1061,Democrat,Hillary Clinton,3022,0.749
Alabama,AL,Geneva,1061,Democrat,Bernie Sanders,868,0.216
Alabama,AL,Greene,1063,Republican,Donald Trump,20,0.538
Alabama,AL,Greene,1063,Republican,Ted Cruz,85,0.216
Alabama,AL,Greene,1063,Republican,Marco Rubio,203,0.121
Alabama,AL,Greene,1063,Republican,Ben Carson,60,0.07
Alabama,AL,Greene,1063,Republican,John Kasich,888,0.037
Alabama,AL,Greene,1063,Democrat,Hillary Clinton,396,0.901
Alabama,AL,Greene,1063,Democrat,Bernie Sanders,128,0.071
Alabama,AL,Hale,1065,Republican,Donald Trump,439,0.521
Alabama,AL,Hale,1065,Republican,Ted Cruz,0,0.25
Alabama,AL,Hale,1065,Republican,Marco Rubio,2783,0.117
Alabama,AL,Hale,1065,Republican,Ben Carson,1225,0.078
Alabama,AL,Hale,1065,Republican,John Kasich,694,0.021
Alabama,AL,Hale,1065,Democrat,Hillary Clinton,22,0.796
Alabama,AL,Hale,1065,Democrat,Bernie Sanders,256,0.14
Alabama,AL,Henry,1067,Republican,Donald Trump,680,0.468
Alabama,AL,Henry,1067,Republican,Ted Cruz,34,0.223
Alabama,AL,Henry,1067,Republican,Marco Rubio,6,0.143
Alabama,AL,Henry,1067,Republican,Ben Carson,15598,0.115
Alabama,AL,Henry,1067,Republican,John Kasich,6542,0.028
Alabama,AL,Henry,1067,Democrat,Hillary Clinton,90,0.856
Alabama,AL,Henry,1067,Democrat,Bernie Sanders,5,0.119
Alabama,AL,Houston,1069,Republican,Donald Trump,9,0.404
Alabama,AL,Houston,1069,Republican,Ted Cruz,9169,0.225
Alabama,AL,Houston,1069,Republican,Marco Rubio,1322,0.182
Alabama,AL,Houston,1069,Republican,Ben Carson,49,0.114
Alabama,AL,Houston,1069,Republican,John Kasich,5209,0.041
Alabama,AL,Houston,1069,Democrat,Hillary Clinton,223,0.783
Alabama,AL,Houston,1069,Democrat,Bernie Sanders,8653,0.201
Alabama,AL,Jackson,1071,Republican,Donald Trump,199,0.499
Alabama,AL,Jackson,1071,Republican,Marco Rubio,2102,0.169
Alabama,AL,Jackson,1071,Republican,Ted Cruz,986,0.164
Alabama,AL,Jackson,1071,Republican,Ben Carson,462,0.108
Alabama,AL,Jackson,1071,Republican,John Kasich,44,0.028
Alabama,AL,Jackson,1071,Democrat,Hillary Clinton,1277,0.7
Alabama,AL,Jackson,1071,Democrat,Bernie Sanders,135,0.269
Alabama,AL,Jefferson,1073,Republican,Donald Trump,990,0.35
Alabama,AL,Jefferson,1073,Republican,Marco Rubio,2304,0.247
Alabama,AL,Jefferson,1073,Republican,Ted Cruz,821,0.238
Alabama,AL,Jefferson,1073,Republican,Ben Carson,4351,0.089
Alabama,AL,Jefferson,1073,Republican,John Kasich,3060,0.061
Alabama,AL,Jefferson,1073,Democrat,Hillary Clinton,129,0.816
Alabama,AL,Jefferson,1073,Democrat,Bernie Sanders,367,0.174
Alabama,AL,Lamar,1075,Republican,Donald Trump,265,0.504
Alabama,AL,Lamar,1075,Republican,Ted Cruz,427,0.193
Alabama,AL,Lamar,1075,Republican,Marco Rubio,32,0.13
Alabama,AL,Lamar,1075,Republican,Ben Carson,12,0.096
Alabama,AL,Lamar,1075,Republican,John Kasich,4693,0.029
Alabama,AL,Lamar,1075,Democrat,Hillary Clinton,586,0.616
Alabama,AL,Lamar,1075,Democrat,Bernie Sanders,699,0.241
Alabama,AL,Lauderdale,1077,Republican,Donald Trump,1566,0.421
Alabama,AL,Lauderdale,1077,Republican,Marco Rubio,5,0.187
Alabama,AL,Lauderdale,1077,Republican,Ted Cruz,151,0.183
Alabama,AL,Lauderdale,1077,Republican,Ben Carson,251,0.121
Alabama,AL,Lauderdale,1077,Republican,John Kasich,1008,0.055
Alabama,AL,Lauderdale,1077,Democrat,Hillary Clinton,309,0.652
Alabama,AL,Lauderdale,1077,Democrat,Bernie Sanders,2802,0.309
Alabama,AL,Lawrence,1079,Republican,Donald Trump,496,0.528
Alabama,AL,Lawrence,1079,Republican,Ted Cruz,951,0.176
Alabama,AL,Lawrence,1079,Republican,Marco Rubio,2778,0.135
Alabama,AL,Lawrence,1079,Republican,Ben Carson,269,0.107
Alabama,AL,Lawrence,1079,Republican,John Kasich,346,0.029
Alabama,AL,Lawrence,1079,Democrat,Hillary Clinton,296,0.777
Alabama,AL,Lawrence,1079,Democrat,Bernie Sanders,395,0.162
Alabama,AL,Lee,1081,Republican,Donald Trump,922,0.33
Alabama,AL,Lee,1081,Republican,Ted Cruz,762,0.232
Alabama,AL,Lee,1081,Republican,Marco Rubio,3264,0.225
Alabama,AL,Lee,1081,Republican,Ben Carson,24,0.117
Alabama,AL,Lee,1081,Republican,John Kasich,159,0.071
Alabama,AL,Lee,1081,Democrat,Hillary Clinton,15,0.736
Alabama,AL,Lee,1081,Democrat,Bernie Sanders,2843,0.254
Alabama,AL,Limestone,1083,Republican,Donald Trump,1593,0.43
Alabama,AL,Limestone,1083,Republican,Ted Cruz,1714,0.214
Alabama,AL,Limestone,1083,Republican,Marco Rubio,310,0.189
Alabama,AL,Limestone,1083,Republican,Ben Carson,194,0.108
Alabama,AL,Limestone,1083,Republican,John Kasich,25,0.039
Alabama,AL,Limestone,1083,Democrat,Hillary Clinton,274,0.728
Alabama,AL,Limestone,1083,Democrat,Bernie Sanders,1404,0.255
Alabama,AL,Lowndes,1085,Republican,Donald Trump,342,0.595
Alabama,AL,Lowndes,1085,Republican,Ted Cruz,198,0.163
Alabama,AL,Lowndes,1085,Republican,Ben Carson,801,0.105
Alabama,AL,Lowndes,1085,Republican,Marco Rubio,1048,0.099
Alabama,AL,Lowndes,1085,Republican,John Kasich,5050,0.031
Alabama,AL,Lowndes,1085,Democrat,Hillary Clinton,38,0.887
Alabama,AL,Lowndes,1085,Democrat,Bernie Sanders,6918,0.077
Alabama,AL,Macon,1087,Republican,Donald Trump,1493,0.48
Alabama,AL,Macon,1087,Republican,Ted Cruz,890,0.198
Alabama,AL,Macon,1087,Republican,Ben Carson,5828,0.127
Alabama,AL,Macon,1087,Republican,Marco Rubio,2350,0.124
Alabama,AL,Macon,1087,Republican,John Kasich,894,0.053
Alabama,AL,Macon,1087,Democrat,Hillary Clinton,1916,0.892
Alabama,AL,Macon,1087,Democrat,Bernie Sanders,769,0.1
Alabama,AL,Madison,1089,Republican,Donald Trump,7538,0.362
Alabama,AL,Madison,1089,Republican,Marco Rubio,14,0.26
Alabama,AL,Madison,1089,Republican,Ted Cruz,8882,0.207
Alabama,AL,Madison,1089,Republican,Ben Carson,5199,0.096
Alabama,AL,Madison,1089,Republican,John Kasich,353,0.06
Alabama,AL,Madison,1089,Democrat,Hillary Clinton,0,0.686
Alabama,AL,Madison,1089,Democrat,Bernie Sanders,94,0.301
Alabama,AL,Marengo,1091,Republican,Donald Trump,690,0.539
Alabama,AL,Marengo,1091,Republican,Ted Cruz,325,0.212
Alabama,AL,Marengo,1091,Republican,Marco Rubio,180,0.118
Alabama,AL,Marengo,1091,Republican,Ben Carson,477,0.079
Alabama,AL,Marengo,1091,Republican,John Kasich,939,0.024
Alabama,AL,Marengo,1091,Democrat,Hillary Clinton,80,0.658
Alabama,AL,Marengo,1091,Democrat,Bernie Sanders,20581,0.2
Alabama,AL,Marion,1093,Republican,Donald Trump,1709,0.529
Alabama,AL,Marion,1093,Republican,Ted Cruz,1624,0.192
Alabama,AL,Marion,1093,Republican,Marco Rubio,700,0.139
Alabama,AL,Marion,1093,Republican,Ben Carson,1490,0.089
Alabama,AL,Marion,1093,Republican,John Kasich,173,0.025
Alabama,AL,Marion,1093,Democrat,Hillary Clinton,79,0.655
Alabama,AL,Marion,1093,Democrat,Bernie Sanders,899,0.296
Alabama,AL,Marshall,1095,Republican,Donald Trump,259,0.495
Alabama,AL,Marshall,1095,Republican,Marco Rubio,15,0.206
Alabama,AL,Marshall,1095,Republican,Ted Cruz,458,0.151
Alabama,AL,Marshall,1095,Republican,Ben Carson,12,0.098
Alabama,AL,Marshall,1095,Republican,John Kasich,2263,0.032
Alabama,AL,Marshall,1095,Democrat,Hillary Clinton,147,0.621
Alabama,AL,Marshall,1095,Democrat,Bernie Sanders,829,0.341
Alabama,AL,Mobile,1097,Republican,Donald Trump,138,0.452
Alabama,AL,Mobile,1097,Republican,Ted Cruz,439,0.215
Alabama,AL,Mobile,1097,Republican,Marco Rubio,410,0.189
Alabama,AL,Mobile,1097,Republican,Ben Carson,1014,0.077
Alabama,AL,Mobile,1097,Republican,John Kasich,229,0.046
Alabama,AL,Mobile,1097,Democrat,Hillary Clinton,208,0.827
Alabama,AL,Mobile,1097,Democrat,Bernie Sanders,1976,0.162
Alabama,AL,Monroe,1099,Republican,Donald Trump,258,0.521
Alabama,AL,Monroe,1099,Republican,Ted Cruz,1939,0.174
Alabama,AL,Monroe,1099,Republican,Marco Rubio,680,0.158
Alabama,AL,Monroe,1099,Republican,Ben Carson,768,0.099
Alabama,AL,Monroe,1099,Republican,John Kasich,4286,0.029
Alabama,AL,Monroe,1099,Democrat,Hillary Clinton,51,0.909
Alabama,AL,Monroe,1099,Democrat,Bernie Sanders,3340,0.076
Alabama,AL,Montgomery,1101,Republican,Donald Trump,490,0.394
Alabama,AL,Montgomery,1101,Republican,Marco Rubio,12122,0.209
Alabama,AL,Montgomery,1101,Republican,Ted Cruz,55,0.176
Alabama,AL,Montgomery,1101,Republican,Ben Carson,2438,0.127
Alabama,AL,Montgomery,1101,Republican,John Kasich,341,0.073
Alabama,AL,Montgomery,1101,Democrat,Hillary Clinton,88,0.862
Alabama,AL,Montgomery,1101,Democrat,Bernie Sanders,125,0.128
Alabama,AL,Morgan,1103,Republican,Donald Trump,5672,0.446
Alabama,AL,Morgan,1103,Republican,Ted Cruz,2972,0.197
Alabama,AL,Morgan,1103,Republican,Marco Rubio,2044,0.183
Alabama,AL,Morgan,1103,Republican,Ben Carson,81,0.114
Alabama,AL,Morgan,1103,Republican,John Kasich,25,0.045
Alabama,AL,Morgan,1103,Democrat,Hillary Clinton,181,0.731
Alabama,AL,Morgan,1103,Democrat,Bernie Sanders,112,0.252
Alabama,AL,Perry,1105,Republican,Donald Trump,244,0.515
Alabama,AL,Perry,1105,Republican,Ted Cruz,326,0.33
Alabama,AL,Perry,1105,Republican,Marco Rubio,0,0.088
Alabama,AL,Perry,1105,Republican,Ben Carson,361,0.04
Alabama,AL,Perry,1105,Republican,John Kasich,107,0.005
Alabama,AL,Perry,1105,Democrat,Hillary Clinton,2030,0.82
Alabama,AL,Perry,1105,Democrat,Bernie Sanders,66,0.124
Alabama,AL,Pickens,1107,Republican,Donald Trump,1046,0.441
Alabama,AL,Pickens,1107,Republican,Ted Cruz,1806,0.258
Alabama,AL,Pickens,1107,Republican,Marco Rubio,546,0.138
Alabama,AL,Pickens,1107,Republican,Ben Carson,1785,0.113
Alabama,AL,Pickens,1107,Republican,John Kasich,543,0.025
Alabama,AL,Pickens,1107,Democrat,Hillary Clinton,55795,0.762
Alabama,AL,Pickens,1107,Democrat,Bernie Sanders,2345,0.148
Alabama,AL,Pike,1109,Republican,Donald Trump,1447,0.46
Alabama,AL,Pike,1109,Republican,Ted Cruz,147,0.201
Alabama,AL,Pike,1109,Republican,Marco Rubio,1081,0.147
Alabama,AL,Pike,1109,Republican,Ben Carson,0,0.129
Alabama,AL,Pike,1109,Republican,John Kasich,2899,0.032
Alabama,AL,Pike,1109,Democrat,Hillary Clinton,1528,0.837
Alabama,AL,Pike,1109,Democrat,Bernie Sanders,71,0.145
Alabama,AL,Randolph,1111,Republican,Donald Trump,164,0.516
Alabama,AL,Randolph,1111,Republican,Ted Cruz,148,0.207
Alabama,AL,Randolph,1111,Republican,Marco Rubio,582,0.128
Alabama,AL,Randolph,1111,Republican,Ben Carson,324,0.093
Alabama,AL,Randolph,1111,Republican,John Kasich,175,0.029
Alabama,AL,Randolph,1111,Democrat,Hillary Clinton,1489,0.706
Alabama,AL,Randolph,1111,Democrat,Bernie Sanders,102,0.187
Alabama,AL,Russell,1113,Republican,Donald Trump,400,0.474
Alabama,AL,Russell,1113,Republican,Ted Cruz,9,0.27
Alabama,AL,Russell,1113,Republican,Marco Rubio,291,0.123
Alabama,AL,Russell,1113,Republican,Ben Carson,9,0.079
Alabama,AL,Russell,1113,Republican,John Kasich,4735,0.028
Alabama,AL,Russell,1113,Democrat,Hillary Clinton,18,0.728
Alabama,AL,Russell,1113,Democrat,Bernie Sanders,108,0.164
Alabama,AL,Shelby,1117,Republican,Donald Trump,58,0.344
Alabama,AL,Shelby,1117,Republican,Ted Cruz,1720,0.263
Alabama,AL,Shelby,1117,Republican,Marco Rubio,137,0.23
Alabama,AL,Shelby,1117,Republican,Ben Carson,432,0.094
Alabama,AL,Shelby,1117,Republican,John Kasich,219,0.05
Alabama,AL,Shelby,1117,Democrat,Hillary Clinton,89,0.628
Alabama,AL,Shelby,1117,Democrat,Bernie Sanders,20698,0.354
Alabama,AL,Sumter,1119,Republican,Donald Trump,523,0.591
Alabama,AL,Sumter,1119,Republican,Ted Cruz,33,0.16
Alabama,AL,Sumter,1119,Republican,Marco Rubio,17,0.139
Alabama,AL,Sumter,1119,Republican,Ben Carson,246,0.075
Alabama,AL,Sumter,1119,Republican,John Kasich,35,0.014
Alabama,AL,Sumter,1119,Democrat,Hillary Clinton,2190,0.809
Alabama,AL,Sumter,1119,Democrat,Bernie Sanders,1511,0.113
